311,158040,--neBDssyZlHqAWgrHtUBQ,p_wgylnWMXSLlPGCRYSarQ,4
311,106506,--neBDssyZlHqAWgrHtUBQ,Z5L-jOexcqCXfXWTIWnYlw,3
311,148126,--neBDssyZlHqAWgrHtUBQ,mES9E5K4HbYoPFXGv0pUuw,5
839,167979,-1AzFM8xOTXAfdR6sGfx9Q,t-EcsRa2ihCBNTD_-wPDaA,1
917,70520,-1Os5D42rgx04Gp7ZuYUeg,MtzjOi57BkQrqF8wqNOyHg,1
917,28650,-1Os5D42rgx04Gp7ZuYUeg,8nmjvYX4N67cxOsGfbEgjg,1
981,52171,-1Zy1V8_Svmsu_xLEZpbYQ,GeeR1ScER2WpFoJs1sTjsA,1
2151,88345,-4r6OoklyemH7Up70wIhMA,Sy75QB18Sv-xNp8FoA8KvQ,1
2151,71996,-4r6OoklyemH7Up70wIhMA,NQXuoB9JTPUItHvouMgWjQ,2
2151,167025,-4r6OoklyemH7Up70wIhMA,seYvTmOZGJ2IAMdfQa8pkg,4
2151,114451,-4r6OoklyemH7Up70wIhMA,alWRFbDdU3_F1c2C4nG2dw,5
2151,123556,-4r6OoklyemH7Up70wIhMA,drIFrAyZnyismS1ArZlmAg,5
2151,25293,-4r6OoklyemH7Up70wIhMA,7eQoxWr9RzyCB9IFvqHUPA,5
2151,116145,-4r6OoklyemH7Up70wIhMA,bKbYRUZKDYonSPOjzchJJg,5
2151,176272,-4r6OoklyemH7Up70wIhMA,vodCM302JJ_P9yJt1WuH_w,5
2700,44184,-6P9_LWZGYeYWn4wxSYF4Q,E0djzqBHz923hwj-MJFO6Q,5
2813,104507,-6hzTZbyE_vAnlLe4lEkpA,YP800TNLAj0MSMgmplxc_A,1
2813,73407,-6hzTZbyE_vAnlLe4lEkpA,Nut3ob6m58of2curSbrFWQ,1
2813,105136,-6hzTZbyE_vAnlLe4lEkpA,YcGHCoSkl2PLKsHQCiu0HA,5
2813,34598,-6hzTZbyE_vAnlLe4lEkpA,AmJ0GFlYCAap-vGYxv-OJQ,1
2924,54818,-6yBHp1h5anOFxZqcJmV2Q,H_FkQxifSo13B2FWjhp36g,5
3411,98256,-8KLygBe5oUnYzbaiTcTnw,WHQA1tr0dztKcCQUtTT3sg,5
